EARNHRBONUS,GENDER_R,AGE_R,C_Q09,D_Q03,D_Q05a1,D2_Q10_C,D_Q10,ISCOSKIL4,EDCAT7,BORNLANG
17.7234323941744,1,50,18,2,32,1,40,1,7,1
19.1568745833177,2,64,32,2,32,1,40,1,7,1
11.5606937408447,1,61,38,1,56,1,40,1,3,1
8.47784233093262,2,58,20,1,55,1,30,2,5,1
8.41040420532227,2,44,22,1,42,1,40,2,3,1
16.1849708557129,1,40,20,2,38,1,50,1,6,2
23.0769236637996,1,54,38,1,41,1,40,1,5,1
7.30015788119063,2,34,6,1,34,2,36,2,2,3
9.16926039182223,2,44,19,1,41,1,45,2,2,1
14.8332594358004,2,50,26,1,25,1,40,1,6,1
7.22591411884014,1,38,10,1,38,1,40,2,1,3
16.9050133778499,1,60,38,1,23,1,40,2,5,1
10.9826593399048,1,56,27,1,40,1,40,2,6,1
7.08064691837017,1,43,12,1,38,1,40,4,3,3
18.7833473499005,1,48,27,1,22,1,40,1,5,1
16.7312456487299,2,61,27,2,39,2,35,2,3,1
9.05982952443962,2,32,8,2,28,1,45,1,7,1
8.36305522918701,2,58,38,2,22,1,47,2,5,1
8,2,21,5,1,20,3,25,2,2,1
8.06560039520264,1,29,11,1,24,1,43,4,6,3
8.98918028366871,2,51,25,1,32,1,30,2,7,1
31.25,2,19,1,1,18,3,8,2,3,1
6.9364161491394,1,33,16,1,32,1,40,3,5,1
16.9510258685102,2,47,16,2,26,3,35,2,7,1
11.2213764924269,1,48,35,1,45,1,40,3,2,3
35.25640918047,1,63,38,1,40,1,30,1,7,1
6.69990348815918,2,52,35,1,49,1,15,1,1,1
11.5384616851807,1,26,3,1,23,1,40,1,6,1
9.06108379364014,2,29,8,1,25,1,37,2,3,1
17.8321685791016,2,41,15,1,27,1,33,1,7,1
7.70712900161743,1,29,6,1,28,1,39,2,6,1
10.1117161970872,2,22,3,1,21,1,40,1,3,1
9.43863927401029,2,56,1,2,54,1,20,2,2,1
10.4046239852905,1,43,15,1,27,1,40,2,3,3
22.4988877223088,2,51,15,1,46,1,25,1,7,1
8,1,23,3,1,22,1,40,2,3,1
10.4046239852905,1,41,23,1,30,1,40,3,2,4
23.3887725877663,2,36,6,1,31,1,37,1,7,1
7.90751457214355,2,38,12,1,37,1,40,1,7,1
12.2401247024536,1,35,12,1,35,1,37,3,5,1
5.78034687042236,2,30,6,1,27,1,20,2,3,1
98.2658996582031,1,61,41,1,55,1,40,1,2,2
11.2303876876831,2,41,16,2,21,2,35,1,6,1
16.8547128530649,2,40,13,1,27,1,40,1,7,1
9.26782293808766,1,33,11,1,29,1,39,1,2,1
19.230770111084,1,55,30,1,40,1,40,4,3,1
6.45286813149085,1,22,1,1,21,3,40,3,5,1
12.498046875,2,51,26,2,32,1,37,1,7,1
6.58959531784058,2,41,7,1,39,1,20,1,7,1
7.70712900161743,2,41,10,1,38,1,30,4,3,1
11.5384616851807,1,58,33,1,25,1,70,1,7,1
10.9890107898922,2,39,16,1,24,1,35,1,2,3
9.12686347961426,2,62,42,2,20,1,38,2,3,1
28.846153992873,2,40,15,1,35,1,40,1,7,1
13.8728322982788,1,37,13,2,30,1,35,1,6,4
7.26923084259033,1,51,30,1,48,1,40,3,1,1
10.9826593399048,2,61,32,2,28,1,40,2,5,1
28.8461532592773,1,42,20,1,27,1,40,1,6,4
15.2697494824727,2,39,5,1,37,1,30,2,1,3
20.8036903968224,1,41,11,1,38,1,40,1,6,1
11.890998840332,1,31,7,1,31,1,35,1,7,1
10.7314359434358,1,46,20,2,44,1,35,3,5,1
13.6771896802462,1,40,22,1,16,1,40,3,5,1
6.16735212619488,2,29,2,1,28,2,20,2,5,1
7.5144510269165,2,56,34,1,31,1,40,2,3,1
8.09248542785645,1,30,5,1,27,1,40,4,1,4
6.9364161491394,1,26,9,1,20,1,40,2,2,1
17.3076915740967,2,40,13,1,33,1,40,1,7,1
8.57692307692308,2,29,7,1,29,1,40,1,5,1
40.8653857891376,1,58,30,1,50,1,40,1,6,1
9.24855518341064,1,33,5,1,27,3,25,3,6,2
10.4046239852905,2,25,3,2,25,2,40,2,5,2
8.09248542785645,1,45,23,1,45,1,40,4,5,1
9.53757190704346,1,28,5,1,27,1,40,2,6,1
18.3264633979718,1,42,17,2,27,1,37,1,6,1
18.1318683624268,2,44,22,2,29,1,35,2,6,1
9.85576915740967,2,51,35,2,40,2,40,1,2,1
8.39420715269152,1,49,20,2,32,1,56,3,5,1
11.8469316775982,1,25,2,1,24,2,40,1,6,1
6.06730769230769,2,29,10,1,25,1,40,3,5,1
6.74188533196082,2,29,8,2,28,1,48,1,3,1
10.9826593399048,2,27,5,1,26,1,20,1,2,1
14.4230766296387,2,46,20,1,40,1,40,1,7,1
5.12516674628625,2,28,4,1,26,1,50,1,2,1
10.5947090295645,2,50,24,1,46,1,40,3,1,3
24.6620716681847,1,57,35,1,23,1,40,2,5,1
17.6261672240037,2,58,38,2,27,3,40,2,2,1
10.6936416625977,1,43,20,1,36,1,40,3,1,1
20.7269890124981,2,30,7,1,27,1,25,1,7,1
5.13808584213257,1,52,36,1,52,2,18,2,3,1
7.97687864303589,1,42,21,1,36,1,40,4,2,1
31.1085968017578,2,51,28,1,34,1,34,1,7,3
12.5,2,40,12,1,33,1,40,2,7,1
10.0658628757183,1,50,20,1,42,1,40,3,2,1
18.7833473499005,2,28,5,3,26,1,16,1,7,1
13.5821471581092,2,42,24,2,27,1,40,2,3,1
8.5,1,38,20,1,38,3,40,4,3,3
13.4837706639216,2,37,8,1,35,1,30,1,6,2
9,1,30,7,1,29,2,12,1,2,1
11.5517376973079,2,38,12,1,34,1,30,2,6,3
16.8547128530649,2,56,35,3,42,1,40,1,3,1
18.990385055542,1,30,8,1,28,1,40,1,7,1
24.4282741546631,1,51,28,2,27,1,37,2,3,1
13.3865054937509,1,53,28,2,48,1,40,4,2,1
15.8119659423828,1,40,20,2,26,1,45,1,6,1
